id,stateId,name,code
1,1,Adjuntas,Adjuntas
2,2,Agawam,Agawam
3,3,Albion,Albion
4,4,Amherst,Amherst
5,5,Berwick,Berwick
6,6,White River Junction,White River Junction
7,7,Avon,Avon
8,8,Fishers Island,Fishers Island
9,9,Avenel,Avenel
10,10,Aliquippa,Aliquippa
11,11,Bear,Bear
12,12,Washington,Washington
13,13,Aldie,Aldie
14,14,Waldorf,Waldorf
15,15,Bluefield,Bluefield
16,16,Advance,Advance
17,17,Alcolu,Alcolu
18,18,Avondale Estates,Avondale Estates
19,19,Fleming Island,Fleming Island
20,20,Moody,Moody
21,21,Adams,Adams
22,22,Abbeville,Abbeville
23,23,Bagdad,Bagdad
24,24,Alexandria,Alexandria
25,25,Alexandria,Alexandria
26,26,Algonac,Algonac
27,27,Ackworth,Ackworth
28,28,Adell,Adell
29,29,Afton,Afton
30,30,Alcester,Alcester
31,31,Abercrombie,Abercrombie
32,32,Absarokee,Absarokee
33,33,Antioch,Antioch
34,34,Chesterfield,Chesterfield
35,35,Atchison,Atchison
36,36,Abie,Abie
37,37,Metairie,Metairie
38,38,Pine Bluff,Pine Bluff
39,39,Alex,Alex
40,40,Addison,Addison
41,41,Arvada,Arvada
42,42,Cheyenne,Cheyenne
43,43,Pocatello,Pocatello
44,44,Altamont,Altamont
45,45,Phoenix,Phoenix
46,46,Algodones,Algodones
47,47,Alamo,Alamo
48,48,Los Angeles,Los Angeles
49,49,Aiea,Aiea
50,50,Antelope,Antelope
51,51,Auburn,Auburn
52,52,Anchorage,Anchorage
53,48,Colma,Colma
54,48,Burlingame,Burlingame
55,48,Half Moon Bay,Half Moon Bay
56,48,San Mateo,San Mateo
