id,Code,StateId,CityId,CountyId,CountryId
1,00601,1,1,1,1
2,01001,2,2,2,1
3,02802,3,3,3,1
4,03031,4,4,4,1
5,03901,5,5,5,1
6,05001,6,6,6,1
7,06001,7,7,7,1
8,06390,8,8,8,1
9,07001,9,9,9,1
10,15001,10,10,10,1
11,19701,11,11,11,1
12,20001,12,12,12,1
13,20105,13,13,13,1
14,20601,14,14,14,1
15,24701,15,15,15,1
16,27006,16,16,16,1
17,29001,17,17,17,1
18,30002,18,18,18,1
19,32003,19,19,19,1
20,35004,20,20,20,1
21,37010,21,21,21,1
22,38601,22,22,22,1
23,40003,23,23,23,1
24,43001,24,24,24,1
25,46001,25,25,25,1
26,48001,26,26,26,1
27,50001,27,27,27,1
28,53001,28,28,28,1
29,55001,29,29,29,1
30,57001,30,30,30,1
31,58001,31,31,31,1
32,59001,32,32,32,1
33,60002,33,33,33,1
34,63005,34,34,34,1
35,66002,35,35,35,1
36,68001,36,36,36,1
37,70001,37,37,37,1
38,71601,38,38,38,1
39,73002,39,39,39,1
40,75001,40,40,40,1
41,80002,41,41,41,1
42,82001,42,42,42,1
43,83201,43,43,43,1
44,84001,44,44,44,1
45,85003,45,45,45,1
46,87001,46,46,46,1
47,89001,47,47,47,1
48,90001,48,48,48,1
49,96701,49,49,49,1
50,97001,50,50,50,1
51,98001,51,51,51,1
52,99501,52,52,52,1
